Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
PolynomialRegression,84013.47918562568,10737976423.485249,0.9131223394051811
SGDRegressor,82706.27018530556,10567255934.586594,0.9145035863092701
ANN,1169886.183504337,1466671533170.3333,-10.866387728713
RandomForest,98568.27263676128,15072819469.804882,0.8780504591870149
SVM,282858.36053643364,123484043566.05331,0.0009286291275543146
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,105521.77631226745,17103111914.936457,0.861623988220792
